epoch,step,loss,learning_rate
0.09259259259259259,10,6.7949,1.9998333333333335e-05
0.18518518518518517,20,5.9532,1.999648148148148e-05
0.2777777777777778,30,5.5327,1.999462962962963e-05
0.37037037037037035,40,5.1822,1.9992777777777778e-05
0.46296296296296297,50,4.6425,1.999092592592593e-05
0.5555555555555556,60,4.6677,1.9989074074074075e-05
0.6481481481481481,70,4.66,1.9987222222222225e-05
0.7407407407407407,80,4.4981,1.9985370370370372e-05
0.8333333333333334,90,4.3196,1.9983518518518522e-05
0.9259259259259259,100,4.2223,1.998166666666667e-05
1.0185185185185186,110,4.0528,1.997981481481482e-05
1.1111111111111112,120,4.0193,1.9977962962962966e-05
1.2037037037037037,130,3.926,1.9976111111111112e-05
1.2962962962962963,140,4.0785,1.9974259259259262e-05
1.3888888888888888,150,4.0608,1.997240740740741e-05
1.4814814814814814,160,3.8876,1.9970555555555556e-05
1.574074074074074,170,3.7972,1.9968703703703706e-05
1.6666666666666665,180,3.8246,1.9966851851851853e-05
1.7592592592592593,190,3.7667,1.9965e-05
1.8518518518518519,200,3.7673,1.996314814814815e-05
1.9444444444444444,210,3.7438,1.9961296296296296e-05
2.037037037037037,220,3.7374,1.9959444444444446e-05
2.1296296296296298,230,3.6218,1.9957592592592593e-05
2.2222222222222223,240,3.7478,1.9955740740740743e-05
2.314814814814815,250,3.7642,1.995388888888889e-05
2.4074074074074074,260,3.5324,1.995203703703704e-05
2.5,270,3.5794,1.9950185185185187e-05
2.5925925925925926,280,3.5304,1.9948333333333333e-05
2.685185185185185,290,3.624,1.9946481481481484e-05
2.7777777777777777,300,3.6754,1.994462962962963e-05
2.8703703703703702,310,3.5527,1.994277777777778e-05
2.962962962962963,320,3.6418,1.9940925925925927e-05
3.0555555555555554,330,3.4589,1.9939074074074077e-05
3.148148148148148,340,3.4263,1.9937222222222224e-05
3.240740740740741,350,3.581,1.9935370370370374e-05
3.3333333333333335,360,3.4606,1.993351851851852e-05
3.425925925925926,370,3.3553,1.9931666666666668e-05
3.5185185185185186,380,3.5458,1.9929814814814818e-05
3.611111111111111,390,3.4997,1.9927962962962964e-05
3.7037037037037037,400,3.2944,1.992611111111111e-05
3.7962962962962963,410,3.3343,1.992425925925926e-05
3.888888888888889,420,3.4098,1.9922407407407408e-05
3.9814814814814814,430,3.4309,1.9920555555555555e-05
4.074074074074074,440,3.2715,1.9918703703703705e-05
4.166666666666667,450,3.4583,1.991685185185185e-05
4.2592592592592595,460,3.2607,1.9915e-05
4.351851851851852,470,3.4216,1.991314814814815e-05
4.444444444444445,480,3.3168,1.99112962962963e-05
4.537037037037037,490,3.3045,1.9909444444444445e-05
4.62962962962963,500,3.3959,1.9907592592592595e-05
4.722222222222222,510,3.3131,1.9905740740740742e-05
4.814814814814815,520,3.3123,1.9903888888888892e-05
4.907407407407407,530,3.2154,1.990203703703704e-05
5.0,540,3.0884,1.9900185185185186e-05
5.092592592592593,550,3.2705,1.9898333333333336e-05
5.185185185185185,560,3.0782,1.9896481481481482e-05
5.277777777777778,570,3.0913,1.9894629629629632e-05
5.37037037037037,580,3.0673,1.989277777777778e-05
5.462962962962963,590,3.1363,1.989092592592593e-05
5.555555555555555,600,3.3336,1.9889074074074076e-05
5.648148148148148,610,3.2445,1.9887222222222223e-05
5.7407407407407405,620,3.2879,1.9885370370370373e-05
5.833333333333333,630,3.0814,1.988351851851852e-05
5.925925925925926,640,3.0084,1.9881666666666666e-05
6.018518518518518,650,3.2557,1.9879814814814816e-05
6.111111111111111,660,3.1756,1.9877962962962963e-05
6.203703703703703,670,3.1192,1.9876111111111113e-05
6.296296296296296,680,2.949,1.987425925925926e-05
6.388888888888889,690,3.1712,1.9872407407407407e-05
6.481481481481482,700,3.0546,1.9870555555555557e-05
6.574074074074074,710,2.99,1.9868703703703704e-05
6.666666666666667,720,3.1385,1.9866851851851854e-05
6.7592592592592595,730,2.9644,1.9865e-05
6.851851851851852,740,2.9931,1.986314814814815e-05
6.944444444444445,750,3.0572,1.9861296296296297e-05
7.037037037037037,760,3.0168,1.9859444444444447e-05
7.12962962962963,770,3.0262,1.9857592592592594e-05
7.222222222222222,780,2.8987,1.9855740740740744e-05
7.314814814814815,790,2.9531,1.985388888888889e-05
7.407407407407407,800,3.0114,1.985203703703704e-05
7.5,810,2.9119,1.9850185185185188e-05
7.592592592592593,820,2.9008,1.9848333333333334e-05
7.685185185185185,830,2.9556,1.9846481481481485e-05
7.777777777777778,840,3.1283,1.984462962962963e-05
7.87037037037037,850,3.0103,1.9842777777777778e-05
7.962962962962963,860,2.9639,1.9840925925925928e-05
8.055555555555555,870,2.8306,1.9839074074074075e-05
8.148148148148149,880,2.7272,1.9837222222222225e-05
8.24074074074074,890,2.976,1.983537037037037e-05
8.333333333333334,900,2.9285,1.983351851851852e-05
8.425925925925926,910,2.9317,1.983166666666667e-05
8.518518518518519,920,2.9902,1.9829814814814815e-05
8.61111111111111,930,2.9884,1.9827962962962965e-05
8.703703703703704,940,2.7364,1.9826111111111112e-05
8.796296296296296,950,2.8423,1.9824259259259262e-05
8.88888888888889,960,2.7676,1.982240740740741e-05
8.981481481481481,970,2.8283,1.9820555555555556e-05
9.074074074074074,980,2.8677,1.9818703703703706e-05
9.166666666666666,990,2.7649,1.9816851851851852e-05
9.25925925925926,1000,2.9518,1.9815000000000003e-05
9.351851851851851,1010,2.7806,1.981314814814815e-05
9.444444444444445,1020,2.7895,1.98112962962963e-05
9.537037037037036,1030,2.8331,1.9809444444444446e-05
9.62962962962963,1040,2.6849,1.9807592592592596e-05
9.722222222222221,1050,2.948,1.9805740740740743e-05
9.814814814814815,1060,2.6201,1.9803888888888893e-05
9.907407407407408,1070,2.5985,1.980203703703704e-05
10.0,1080,2.8901,1.9800185185185187e-05
10.092592592592593,1090,2.814,1.9798333333333337e-05
10.185185185185185,1100,2.683,1.9796481481481483e-05
10.277777777777779,1110,2.7376,1.979462962962963e-05
10.37037037037037,1120,2.7738,1.979277777777778e-05
10.462962962962964,1130,2.7503,1.9790925925925927e-05
10.555555555555555,1140,2.5522,1.9789074074074074e-05
10.648148148148149,1150,2.6944,1.9787222222222224e-05
10.74074074074074,1160,2.5969,1.978537037037037e-05
10.833333333333334,1170,2.7509,1.978351851851852e-05
10.925925925925926,1180,2.6768,1.9781666666666667e-05
11.018518518518519,1190,2.6321,1.9779814814814817e-05
11.11111111111111,1200,2.7432,1.9777962962962964e-05
11.203703703703704,1210,2.7346,1.9776111111111114e-05
11.296296296296296,1220,2.4055,1.977425925925926e-05
11.38888888888889,1230,2.7062,1.9772407407407408e-05
11.481481481481481,1240,2.7806,1.9770555555555558e-05
11.574074074074074,1250,2.7363,1.9768703703703705e-05
11.666666666666666,1260,2.6015,1.9766851851851855e-05
11.75925925925926,1270,2.6698,1.9765e-05
11.851851851851851,1280,2.5673,1.976314814814815e-05
11.944444444444445,1290,2.4602,1.9761296296296298e-05
12.037037037037036,1300,2.4503,1.9759444444444448e-05
